ID,Staff,BirthYear,Gender,Marital,Citizenship,Minority,JoinDate,LeftDate,Unit,Salary,PerformanceScore,Survey,Satisfaction,Absence,,,,
163,Meera Woodward,10/2/1969,F,Single,PR,Yes,1/9/2012,6/27/2015,Manufacturing,59728,Meet,4.3,4,16,,,,
169,Nadir Redmond,9/2/1983,M ,Single,Citizen,No,4/2/2012,9/27/2018,Manufacturing,60340,To Improve,5,4,16,,,,
170,Natalia Ortiz,1/16/1967,F,Single,Citizen,No,1/10/2011,4/4/2014,Manufacturing,57815,Meet,4.8,5,5,,,,
173,Nazifa Everett,1/17/1979,F,Single,Citizen,No,9/26/2011,8/19/2018,Manufacturing,63676,Meet,4.88,3,17,,,,
178,Omar Macleod,12/21/1974,M ,Single,PR,No,1/5/2009,7/30/2018,Manufacturing,46428,Meet,4.6,5,7,,,,
179,Osama Byers,8/10/1988,M ,Single,Citizen,Yes,11/11/2013,,Manufacturing,64246,Meet,5,3,20,,,,
181,Ozan Buckley,8/12/1979,M ,Single,Citizen,No,7/11/2011,9/23/2016,Manufacturing,59144,To Improve,2,3,16,,,,
185,Phoebe Murillo,7/7/1986,F,Single,Citizen,No,1/6/2014,,Manufacturing,45395,Meet,4.6,4,14,,,,
190,Raul Allison,11/23/1981,M ,Single,Citizen,No,11/5/2007,,Manufacturing,47001,Meet,3.66,3,15,,,,
192,Rayyan Ballard,11/25/1987,F,Single,PR,No,10/26/2009,4/8/2015,Manufacturing,63878,Meet,4.68,4,20,,,,
194,Reyansh Charlton,2/2/1983,M ,Single,Citizen,No,3/31/2014,,Manufacturing,52846,Meet,4.43,3,14,,,,
196,Riaz Callahan,3/17/1988,M ,Single,Citizen,No,1/10/2011,12/28/2017,Manufacturing,53564,To Improve,3.54,5,15,,,,
202,Ruby Stephens,11/28/1973,F,Single,Citizen,No,9/18/2014,,Manufacturing,75188,Meet,4.52,4,4,,,,
206,Safwan Herrera,5/24/1987,M ,Single,PR,Yes,1/10/2011,5/15/2014,Manufacturing,58371,Meet,5,5,11,,,,
207,Salma Choi,1/2/1951,F,Single,Citizen,No,9/29/2014,,Manufacturing,61656,Meet,5,4,11,,,,
208,Sanaya Browne,3/28/1982,F,Single,PR,No,8/19/2013,,Manufacturing,73330,Exceed,4.2,4,19,,,,
209,Sannah Frederick,3/11/1984,F,Single,Citizen,No,6/6/2016,,Manufacturing,69340,Meet,3,5,4,,,,
210,Sasha Foley,9/22/1976,F,Single,Citizen,No,3/30/2015,,Manufacturing,55688,Meet,5,4,10,,,,
211,Savanna Krause,4/6/1985,F,Single,Citizen,No,7/5/2015,,Manufacturing,62068,Meet,3.21,3,7,,,,
216,Shyam Baker,8/9/1983,M ,Single,Citizen,No,1/28/2016,,Manufacturing,72640,Exceed,5,3,14,,,,
220,Sion Redfern,9/8/1977,M ,Single,Citizen,No,7/8/2013,,Manufacturing,63108,Meet,4.4,5,3,,,,
223,Stefanie John,3/15/1985,F,Single,Non-Resident,No,1/10/2011,7/2/2014,Manufacturing,74813,Meet,4.4,3,5,,,,
226,Summer-Rose Holloway,1/28/1991,F,Single,Non-Resident,No,8/19/2013,,Manufacturing,51908,Meet,3.99,3,14,,,,
228,Tahmina Webb,7/20/1986,F,Single,Non-Resident,No,5/16/2011,10/25/2015,Manufacturing,45998,Meet,3.45,4,5,,,,
230,Tammy Russo,5/30/1968,F,Single,Citizen,No,4/2/2012,11/11/2016,Manufacturing,62659,Meet,4.18,4,17,,,,
234,Tina Power,6/6/1968,F,Single,Citizen,No,7/4/2016,,Manufacturing,47750,To Improve,2.6,4,4,,,,
243,Whitney Vinson,9/14/1979,M ,Single,PR,No,11/7/2011,,Manufacturing,56294,Meet,3.96,4,6,,,,
249,Zoya Easton,8/2/1980,F,Single,Non-Resident,No,8/13/2012,9/1/2015,Manufacturing,50274,To Improve,2.5,3,13,,,,
250,Zuzanna Pruitt,5/21/1987,F,Single,Non-Resident,No,3/30/2015,,Manufacturing,55315,Meet,5,5,16,,,,
8,Adeeb Rice,6/11/1970,M ,Single,PR,No,5/14/2012,,Sales,66808,Meet,3,5,17,,,,
21,Antonina Needham,9/22/1989,F,Single,Citizen,No,2/16/2015,,Sales,61555,Meet,4.5,5,20,,,,
30,Bea Andrews,11/8/1988,F,Single,Citizen,No,1/10/2011,,Sales,74241,Exceed,4.77,5,14,,,,
36,Brendon Blaese,2/9/1969,M ,Single,PR,No,3/7/2012,10/31/2014,Sales,71707,Meet,4.5,5,20,,,,
37,Bushra Ware,4/19/1990,F,Single,Citizen,No,5/5/2014,,Sales,65729,Meet,4.62,4,8,,,,
42,Chaya Page,5/7/1965,F,Single,Citizen,No,9/29/2014,,Sales,58370,Meet,3.69,3,18,,,,
50,Daanish Payne,2/24/1969,M ,Single,Citizen,Yes,3/7/2011,,Sales,71339,Meet,3.65,5,20,,,,
54,Debra Bond,11/11/1989,F,Single,Citizen,No,11/7/2011,4/24/2014,Sales,68999,Meet,4.5,5,2,,,,
91,Imran Bird,8/28/1963,M ,Single,Citizen,No,9/6/2011,,Sales,67251,Meet,4.3,3,7,,,,
129,Kie Bain,7/11/1989,M ,Single,Citizen,No,3/5/2012,,Sales,55875,Meet,4.5,4,11,,,,
137,Lea Tillman,5/15/1963,F,Single,Citizen,No,8/18/2014,,Sales,71860,Meet,5,5,7,,,,
